"product","sub_product","issue","sub_issue","consumer_complaint_narrative","company_public_response","company","state","tags","consumer_consent_provided","submitted_via","date_sent_to_company","company_response_to_consumer","timely_response","consumer_disputed."
"Credit card","Blank","Arbitration","Blank","Blank","Blank","Amex","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","APR or interest rate","Blank","Blank","Blank","Synchrony Financial","MD","Blank","Other","Web","01","Closed with monetary relief","Yes","No"
"Mortgage","Other mortgage","Settlement process and costs","Blank","Blank","Blank","Wells Fargo & Company","CA","Older American","Blank","Phone","03","In progress","Yes","No"
"Credit reporting","Blank","Credit reporting company's investigation","Inadequate help over the phone","Yes","Blank","Equifax","MD","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","MI","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Balance transfer","Blank","Yes","Company chooses not to provide a public response","Bank of America","FL","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Nationstar Mortgage","MI","Blank","Consent provided","Web","01","Closed","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Blank","Equifax","IL","Blank","Blank","Referral","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Blank","Blank","Equifax","CO","Older American","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Blank","Ocwen","TX","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Debt collection","Credit card","False statements or representation","Attempted to collect wrong amount","Blank","Blank","Portfolio Recovery Associates, Inc.","KY","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Blank","Blank","Blank","Nationstar Mortgage","CA","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Unable to get credit report/credit score","Problem getting my free annual report","Yes","Blank","Equifax","NY","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Ocwen","TX","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Loan servicing, payments, escrow account","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","NC","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Yes","Blank","Equifax","NC","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Blank","Yes","Company chooses not to provide a public response","Wells Fargo & Company","VA","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Checking account","Account opening, closing, or management","Blank","Yes","Company chooses not to provide a public response","Citibank","CA","Older American","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","TX","Blank","Blank","Phone","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Account status","Blank","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","WA","Blank","Blank","Phone","01","Closed with non-monetary relief","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Yes","Company chooses not to provide a public response","TransUnion Intermediate Holdings, Inc.","MO","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Information is not mine","Blank","Blank","Equifax","IL","Blank","Blank","Phone","02","Closed with explanation","Yes","Yes"
"Credit card","Blank","Customer service / Customer relations","Blank","Yes","Blank","JPMorgan Chase & Co.","AZ","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Problem with statement of dispute","Blank","Blank","Equifax","TX","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Credit reporting company's investigation","Investigation took too long","Yes","Blank","Equifax","MD","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit card","Blank","Other","Blank","Yes","Company chooses not to provide a public response","Citibank","UT","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Making/receiving payments, sending money","Blank","Blank","Company chooses not to provide a public response","Citibank","MD","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Bank account or service","Other bank product/service","Making/receiving payments, sending money","Blank","Blank","Company chooses not to provide a public response","Wells Fargo & Company","MD","Blank","Consent not provided","Web","01","Closed with explanation","Yes","Yes"
"Student loan","Non-federal student loan","Dealing with my lender or servicer","Don't agree with fees charged","Yes","Blank","Discover","NJ","Blank","Consent provided","Web","01","Closed with explanation","Yes","Yes"
"Credit reporting","Blank","Incorrect information on credit report","Personal information","Yes","Company chooses not to provide a public response","Experian","MA","Blank","Consent provided","Web","02","Closed with explanation","Yes","Yes"
"Mortgage","VA mortgage","Loan servicing, payments, escrow account","Blank","Yes","Blank","Ocwen","FL","Servicemember","Consent provided","Web","01","Closed with explanation","Yes","Yes"
